scope,paper_table,artifact,loss,instance,method,method_key,seed,iou,paper_iou,delta_iou,l1,mape,flip,encoder_params,decoder_params,total_params,evaluated_voxels,training_seconds,streamed_evaluation_seconds,render_and_flip_seconds,total_gpu_occupied_seconds,physical_gpu_id
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,lucy,Hash,hash,0,0.5670097338646541,0.779,-0.21199026613534588,0.04005824961584778,58.61787616762316,,589824,9601,599425,134217728,1152.3981230940044,4.688100699000643,1.5999830793589354e-07,1157.0862239530034,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,lucy,LPE,lpe,0,0.9118388873079549,0.904,0.0078388873079549,0.0020343172764233784,4.894828652723658,,589824,9601,599425,134217728,1165.676149422001,3.96180926499801,3.299974196124822e-07,1169.6379590169963,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,lucy,M-Grid,m_grid,0,0.9271359930349431,0.906,0.021135993034943068,0.001358112730925349,3.9098100132356906,,598016,8833,606849,134217728,1007.9910578710005,2.083505080998293,1.400003384333104e-07,1010.0745630919992,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,lucy,M-Hash,m_hash,0,0.8917540738648274,0.909,-0.017245926135172618,0.004022713871449094,5.727456374464043,,598016,8961,606977,134217728,1812.5416826,7.740302430996962,3.00002284348011e-07,1820.2819853309993,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,lucy,M-HashPEPS,m_hashpeps,0,0.9627406847135507,0.909,0.053740684713550646,0.0013972318265112148,2.102462547390807,,598016,12033,610049,134217728,3979.478387512001,24.742429309997533,9.000359568744898e-08,4004.220816912002,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,lucy,M-PEPS,m_peps,0,0.9300918801594265,0.909,0.021091880159426424,0.0014494925206518868,3.7379350149849415,,598016,11137,609153,134217728,1903.3297192600003,2.938249075996282,2.2000313038006425e-07,1906.2679685559997,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,lucy,PE,pe,0,0.7927433947952973,0.874,-0.08125660520470268,0.0031194211693787903,9.686146778679818,,0,12481,12481,134217728,906.5436851129998,2.8220029730000533,1.5999830793589354e-07,909.3656882459982,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,lucy,TI-Grid,grid,0,0.9553797096963722,0.906,0.049379709696372176,0.000822267903472019,2.2199474135268393,,589824,9601,599425,134217728,1222.7358507929966,2.0639598699999624,2.7000351110473275e-07,1224.7998109330001,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,thai-statue,Grid-PEPS,grid_peps,0,0.9673344997588116,0.93,0.037334499758811535,0.0013666785457672405,2.934815335911509,,589824,16513,606337,134217728,3588.8523306829957,3.5840545270039,1.9000435713678598e-07,3592.436385400004,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,thai-statue,Hash,hash,0,0.5871784047772903,0.747,-0.15982159522270967,0.048593258618265855,93.63221455000016,,589824,9601,599425,134217728,1169.1420409420025,4.228758959994593,2.5999906938523054e-07,1173.3708001619962,2
